pair_type,query_filename,gallery_filename,query_label,gallery_label,target_idx,masked_fraction,original_similarity,important_mask_similarity,random_mask_similarity,important_drop,random_drop
true_match,train_0165.png,train_0169.png,Abril,Abril,0,0.1,0.6703867316246033,0.03224990516901016,0.6795285940170288,0.6381368264555931,-0.009141862392425537
true_match,train_0196.png,train_0189.png,Akaloi,Akaloi,1,0.1,0.8360663652420044,0.6702316999435425,0.7854166030883789,0.16583466529846191,0.05064976215362549
true_match,train_0207.png,train_0211.png,Alira,Alira,2,0.1,0.7007461786270142,0.43390387296676636,0.6066867709159851,0.2668423056602478,0.09405940771102905
true_match,train_0217.png,train_0219.png,Apeiara,Apeiara,3,0.1,0.7050716280937195,0.13961634039878845,0.5170474052429199,0.565455287694931,0.18802422285079956
true_match,train_0238.png,train_0246.png,Ariely,Ariely,4,0.1,0.8257421255111694,-0.13888080418109894,0.31314611434936523,0.9646229296922684,0.5125960111618042
impostor,train_0654.png,train_1320.png,Kamaikua,Ousado,13,0.1,-0.13392947614192963,-0.16844376921653748,0.023943521082401276,0.03451429307460785,-0.1578729972243309
impostor,train_1320.png,train_0303.png,Ousado,Bagua,20,0.1,-0.00394291989505291,0.16259437799453735,0.10157553106546402,-0.16653729788959026,-0.10551845096051693
impostor,train_1459.png,train_0303.png,Ousado,Bagua,20,0.1,-0.05362032726407051,-0.14923611283302307,-0.07855327427387238,0.09561578556895256,0.024932947009801865
impostor,train_0303.png,train_1007.png,Bagua,Marcela,5,0.1,-0.03617754578590393,0.1652093231678009,-0.05159372463822365,-0.20138686895370483,0.015416178852319717
impostor,train_1007.png,train_0281.png,Marcela,Bagua,18,0.1,0.07214383780956268,0.07707951217889786,0.1096271425485611,-0.0049356743693351746,-0.03748330473899841
